date,press,title,content,url
2020-03-25,세계일보,"‘민식이법’ 오늘부터 시행 “스쿨존 운전 시 조심, 또 조심”",‘민식이법’ 시행을 하루 앞둔 지난 24일 경기 수원시 곡정초등학교 앞 스쿨존에서 경찰이 교통법규 위반 차량 계도단속을 하고 있다. 수원=뉴시스 학교 앞 어린이 교통안전을 대폭 강화하고 교통사고 발생시 운전자 처벌을 대폭 강화하는 내용을 골자로 하는 일명 ‘민식이법’이 25일부터 시행된다. 민식이법은 지난해 9월 충남 아산시의 한 초등학교 앞 어린이 보..,http://www.segye.com/content/html/2020/03/25/20200325502649.html
2020-03-25,YTN,"아직 미흡한 불법 주 정차 단속...""주민신고제 적극 활용""","[앵커] 이번에는 신준명 기자가 나가 있는 초등학교 부근을 살펴보겠습니다. 신 기자, 그곳은 어떻게 달라졌습니까? [기자] 제가 나와 있는 이 문현초등학교 앞 왕복 6차선 도로는 하루에만 차량 2만여 대가 다닐 만큼 복잡한 곳입니다. 또 도로가 넓은 만큼 차들이 속도를 높이기도 쉽습니다. 상황이 이렇다 보니 아이들의 안전을 지키기 위해 제가 서 ..",https://www.ytn.co.kr/_ln/0103_202003251210431231
2020-03-25,OBS,'민식이법' 오늘부터 시행 어린이 교통안전 대폭 강화,"어린이 교통안전을 대폭 강화하는 내용이 담긴 이른바 '민식이법'이 오늘부터 시행됩니다. 운전자가 스쿨존에서 통행속도 30km 이내를 준수하지 않는 등의 이유로 어린이를 사망이나 상해에 이르게 하면 가중처벌을 받게 됩니다. 어린이를 사망에 이르게 하면 무기 또는 3년 이상의 징역, 상해에 이르게 하면 1년 이상 15년 이하의 징역 또는 500만원 ..",http://www.obsnews.co.kr/news/articleView.html?idxno=1207935
2020-03-25,세계일보,"운전자들 “민식이법 취지 공감, 도로 뛰어드는 어린이 보호위한 조치 필요”",어린이들이 횡단보도를 건너고 있다. 정부는 어린이 보호를 위해 스쿨존 내 횡단보도에 ‘옐로우카펫(사진에서 노란색 삼각형 모양)’을 추가 도입한다는 계획이다. 학교 앞 어린이 교통안전과 교통사고 발생시 운전자 처벌을 대폭 강화하는 내용을 골자로 하는 ’민식이법‘이 25일 시행됐다. 민식이법은 지난해 9월 충남 아산시의 한 초등학교 앞 어린이 보..,http://www.segye.com/content/html/2020/03/25/20200325509406.html
2020-03-25,매일경제,"[카드뉴스] 오늘부터 시작되는 민식이법, 아직 해결되지 않은 논란들",[기획 = 디지털뉴스국 임창연 에디터 / 그래픽 = 디지털뉴스국 양혜주 인턴기자],http://news.mk.co.kr/newsRead.php?no=308840&year=2020
2020-03-25,중앙일보,"운전자 최대 무기징역 '민식이법' 첫날, 靑엔 반대 청원글",'민식이법'으로 불리는 '도로교통법 일부개정법률안(도로교통법 개정안)'과 '특정범죄 가중처벌 등에 관한 법률 일부개정법률안(특가법 개정안)'이 25일 시행 첫날을 맞았지만 한쪽에선 반대 목소리도 나오고 있다. 학교 앞 어린이 교통안전 강화가 목적인 민식이법은 교통사고 발생 시 운전자가 최대 무기징역에 처해질 수 있어서다. 도로교통법 개정안에는 어..,https://news.joins.com/article/olink/23333421
2020-03-25,국민일보,“민식이 법 개정을 청원합니다” 시행 첫날부터 반대 청원 등장,"학교 앞 어린이 보호구역(스쿨존)에서 사고 발생시 운전자 처벌을 강화하는 내용의 ‘민식이법’이 25일 시행됐지만, 첫날부터 법안 ‘철회 반대’를 요청하는 국민청원이 나왔다. 운전자들 사이에서는 사고 책임을 운전자에게만 지게 하는 ‘악법’이라며 개정을 요구하는 것이다. 지난 23일 올라온 ‘민식이법 개정을 청원합니다’ 청원은 25일 오후 1시 기준 ..",http://news.kmib.co.kr/article/view.asp?arcid=0014403576&code=61121111&cp=kd
2020-03-25,머니투데이,[사진]'민식이법 시행' 어린이보호구역 천천히,"[머니투데이 김창현 기자] 어린이 보호구역(스쿨존)에서 안전운전 의무를 위반해 어린이 사망 상해사고를 낼 경우 처벌을 강화한 일명 '민식이법' 시행 첫 날인 25일 서울의 한 초등학교 인근 도로에서 차량이 지나가고 있다.'민식이법'은 스쿨존 내 교통사고 가해자에게 13세 미만 어린이를 사망에 이르게 한 경우 무기 또는 3년 이상의 징역, 상해를 입힌 ..",http://news.moneytoday.co.kr/view/mtview.php?no=2020032514313594924&type=2
2020-03-25,머니투데이,[사진]'민식이법 본격 시행' 당신의 현재속도는?,"[머니투데이 김창현 기자] 어린이 보호구역(스쿨존)에서 안전운전 의무를 위반해 어린이 사망 상해사고를 낼 경우 처벌을 강화한 일명 '민식이법' 시행 첫 날인 25일 서울의 한 초등학교 인근 도로에 차량 속도가 표시되고 있다.'민식이법'은 스쿨존 내 교통사고 가해자에게 13세 미만 어린이를 사망에 이르게 한 경우 무기 또는 3년 이상의 징역, 상해를 입..",http://news.moneytoday.co.kr/view/mtview.php?no=2020032514331838854&type=2
2020-03-25,머니투데이,[사진]스쿨존 '당신의 현재속도는?',"[머니투데이 김창현 기자] 어린이 보호구역(스쿨존)에서 안전운전 의무를 위반해 어린이 사망 상해사고를 낼 경우 처벌을 강화한 일명 '민식이법' 시행 첫 날인 25일 서울의 한 초등학교 인근 도로에서 차량이 지나가고 있다.'민식이법'은 스쿨존 내 교통사고 가해자에게 13세 미만 어린이를 사망에 이르게 한 경우 무기 또는 3년 이상의 징역, 상해를 입힌 ..",http://news.moneytoday.co.kr/view/mtview.php?no=2020032514341238739&type=2
2020-03-25,머니투데이,[사진]'민식이법 시행 첫 날' 규정속도 지켜주세요,"[머니투데이 김창현 기자] 어린이 보호구역(스쿨존)에서 안전운전 의무를 위반해 어린이 사망 상해사고를 낼 경우 처벌을 강화한 일명 '민식이법' 시행 첫 날인 25일 서울의 한 초등학교 인근 도로에서 차량이 지나가고 있다.'민식이법'은 스쿨존 내 교통사고 가해자에게 13세 미만 어린이를 사망에 이르게 한 경우 무기 또는 3년 이상의 징역, 상해를 입힌 ..",http://news.moneytoday.co.kr/view/mtview.php?no=2020032514352378359&type=2
2020-03-25,머니투데이,[사진]'스쿨존 제한속도는 30km',"[머니투데이 김창현 기자] 어린이 보호구역(스쿨존)에서 안전운전 의무를 위반해 어린이 사망 상해사고를 낼 경우 처벌을 강화한 일명 '민식이법' 시행 첫 날인 25일 서울의 한 초등학교 인근 도로에서 차량이 지나가고 있다.'민식이법'은 스쿨존 내 교통사고 가해자에게 13세 미만 어린이를 사망에 이르게 한 경우 무기 또는 3년 이상의 징역, 상해를 입힌 ..",http://news.moneytoday.co.kr/view/mtview.php?no=2020032514370159187&type=2
2020-03-25,머니투데이,[사진]'어린이보호구역 당신의 현재속도는?',"[머니투데이 김창현 기자] 어린이 보호구역(스쿨존)에서 안전운전 의무를 위반해 어린이 사망 상해사고를 낼 경우 처벌을 강화한 일명 '민식이법' 시행 첫 날인 25일 서울의 한 초등학교 인근 도로에서 차량이 지나가고 있다.'민식이법'은 스쿨존 내 교통사고 가해자에게 13세 미만 어린이를 사망에 이르게 한 경우 무기 또는 3년 이상의 징역, 상해를 입힌 ..",http://news.moneytoday.co.kr/view/mtview.php?no=2020032514373575772&type=2
2020-03-25,머니투데이,[사진]'어린이보호구역은 천천히',"[머니투데이 김창현 기자] 어린이 보호구역(스쿨존)에서 안전운전 의무를 위반해 어린이 사망 상해사고를 낼 경우 처벌을 강화한 일명 '민식이법' 시행 첫 날인 25일 서울의 한 초등학교 인근 도로에서 차량이 지나가고 있다.'민식이법'은 스쿨존 내 교통사고 가해자에게 13세 미만 어린이를 사망에 이르게 한 경우 무기 또는 3년 이상의 징역, 상해를 입힌 ..",http://news.moneytoday.co.kr/view/mtview.php?no=2020032514381775498&type=2
2020-03-25,머니투데이,[사진]'어린이보호구역 제한속도 지켜주세요',"[머니투데이 김창현 기자] 어린이 보호구역(스쿨존)에서 안전운전 의무를 위반해 어린이 사망 상해사고를 낼 경우 처벌을 강화한 일명 '민식이법' 시행 첫 날인 25일 서울의 한 초등학교 인근 도로에서 차량이 지나가고 있다.'민식이법'은 스쿨존 내 교통사고 가해자에게 13세 미만 어린이를 사망에 이르게 한 경우 무기 또는 3년 이상의 징역, 상해를 입힌 ..",http://news.moneytoday.co.kr/view/mtview.php?no=2020032514384191501&type=2
2020-03-25,YTN,민식이법 시행 첫날...선제조치한 곳 2년간 사고 '0',"[앵커] 어린이 보호구역에서 교통단속과 처벌을 대폭 강화한 이른바 '민식이법'이 오늘부터 시행됐습니다. 스쿨존에 신호등과 과속 카메라가 설치되고 사망이나 상해 사고를 내면 최대 무기징역형까지 받게 되는 내용입니다. 시행 첫날인 오늘 어떻게 바뀌었는지, YTN 중계차가 현장 두 곳에 나가 있습니다. 먼저 김지환 기자는 어디에 나가 있습니까? [기자..",https://www.ytn.co.kr/_ln/0103_202003251210402439
2020-03-25,YTN,민식이법 시행 첫날...선제조치한 곳 2년간 사고 '0',"[앵커] 어린이 보호구역에서 교통단속과 처벌을 대폭 강화한 이른바 '민식이법'이 오늘부터 시행됐습니다. 스쿨존에 신호등과 과속 카메라가 설치되고 사망이나 상해 사고를 내면 최대 무기징역형까지 받게 되는 내용입니다. 시행 첫날인 오늘 어떻게 바뀌었는지, YTN 중계차가 현장 두 곳에 나가 있습니다. 먼저 김지환 기자는 어디에 나가 있습니까? [기자..",https://www.ytn.co.kr/_ln/0103_202003251447585041
